STAID,Region
10281800,IntMnt
10291500,IntMnt
10308200,IntMnt
10336580,IntMnt
10336600,IntMnt
10336645,IntMnt
10336660,IntMnt
10336674,IntMnt
10336676,IntMnt
10336770,IntMnt
10343500,IntMnt
10360900,IntMnt
11203580,IntMnt
11213500,IntMnt
11214000,IntMnt
11220000,IntMnt
11226500,IntMnt
11230500,IntMnt
11237500,IntMnt
11257100,IntMnt
11264500,IntMnt
11266500,IntMnt
11274790,IntMnt
11275000,IntMnt
11281000,IntMnt
11282000,IntMnt
11283500,IntMnt
11284400,IntMnt
11292500,IntMnt
11315000,IntMnt
11334300,IntMnt
11409300,IntMnt
11409500,IntMnt
11413320,IntMnt
11413323,IntMnt
11426150,IntMnt
11427700,IntMnt
11433260,IntMnt
10255800,Xeric
10255810,Xeric
10257600,Xeric
10258000,Xeric
10258500,Xeric
10259000,Xeric
10259200,Xeric
10263500,Xeric
10264000,Xeric
11031500,Xeric
11033000,Xeric
11046300,Xeric
11058600,Xeric
11073001,Xeric
11073470,Xeric
11080500,Xeric
11084500,Xeric
11086500,Xeric
11094000,Xeric
11098000,Xeric
11100000,Xeric
11111500,Xeric
11114495,Xeric
11116000,Xeric
11117600,Xeric
11120500,Xeric
11124500,Xeric
11138500,Xeric
11141150,Xeric
11141280,Xeric
11143000,Xeric
11143500,Xeric
11148900,Xeric
11151300,Xeric
11151870,Xeric
11152900,Xeric
11153470,Xeric
11153900,Xeric
11154700,Xeric
11169800,Xeric
11172945,Xeric
11173200,Xeric
11176400,Xeric
11180500,Xeric
11180960,Xeric
11182100,Xeric
11195500,Xeric
11197250,Xeric
11199500,Xeric
11220500,Xeric
11224500,Xeric
11253310,Xeric
11274500,Xeric
11274630,Xeric
11299600,Xeric
11337500,Xeric
11390672,Xeric
11449500,Xeric
11451100,Xeric
11464500,Xeric
11371000,CoastMnt
